"Word","Part of speech","Affixation","Meaning","Example","English example","page"
"kortína","noun","","","","","94"
"kortesíya","noun","","","","","94"
"kórte","noun","","","","","94"
"korpínyo","noun","","","","","94"
"koróna","noun","","","","","94"
"kóro","noun","","","","","94"
"koréo","noun","","","","","94"
"kordéro","noun","","","","","94"
"kordéro","verb","","","","","94"
"kópya","noun","","","","","94"
"kongréso","noun","","","","","94"
"kongresísta","noun","","","","","94"
"kongkréta","noun","","","","","94"
"kontráto","noun","","","","","94"
"kontráto","verb","","","","","94"
"kóntra","noun","","","","","94"
"konsyérto","noun","","","","","94"
"konsého","noun","","","","","94"
"konsehál","noun","","","","","94"
"koného","noun","/mag-, -un/","67 curtain, drape. courtesy, politeness. shape, design, judicial court. corset. crown. choir, chorus, place where the choir stays in church. mail, post of fice. lamb. /mag-, -un/ to copy, to duplicate.","","copy, duplicate.","94"
"kudál","noun","","","","","95"
"kú’ku’","verb","","","","","95"
"kukú","noun","","","","","95"
"kubús","adjective","","","","","95"
"kúbay","verb","","","","","95"
"kubá kub́ á","verb","","","","","95"
"ku","pronoun","","","","","95"
"kristyáno","noun","","","","","95"
"Krísto","noun","","","","","95"
"kristál","noun","","","","","95"
"kriminál","noun","","","","","95"
"krayóla","noun","","","","","95"
"kótse","noun","","","","","95"
"kótse","noun","","","","","95"
"kostúra","verb","","","","","95"
"kostúra","verb","","","","","95"
"koryénte","noun","/mag-/; /mag-, -un/","68 fence, enclosure. /mag-/ to stoop. Nagkú’ku’ si Lucille. Lucille stooped down. finger or toe nail. poor, destitute. /mag-, -un/ to line up, to fall in line. Nagkúbay ang mangá tawu. The people lined up. /mag-/ to throb, to palpitate, to beat like the heart.","Nagkubákubá ang dúghan ku.","My heart throbbed.","95"
"kúlang","adjective","","","","","96"
"kulámug","noun","","","","","96"
"kulákig","adjective","","","","","96"
"kulá","noun","","","","","96"
"kúhit","verb","","","","","96"
"kúha’","verb","","","","","96"
"kúgus","verb","","","","","96"
"kúgus","verb","","","","","96"
"kúgmat","noun","","","","","96"
"kugá’","verb","","","","","96"
"kugá’","verb","","","","","96"
"kúdlit","noun","","","","","96"
"kudkurán","noun","","","","","96"
"kúdkud","verb","/mag-, -un/","69 lacking, incomplete, inadequate, short of. dried mucus in the nose. si ckly, emaciated. glue, paste. /mag-, -un/ to to uch slightly to draw attention, to nudge. Ginkúhit ku si María. I nudged Maria.","Ginkúhit ku si María.","/mag-, -un/ to bear, to hug, to cradle","96"
"kumpáre","noun","","","","","97"
"kumpaníya","noun","","","","","97"
"kumbuyahán","noun","","","","","97"
"kumbúya","noun","","","","","97"
"kumalágku’","noun","","","","","97"
"kulyápis","adjective","","","","","97"
"kulúng","verb","","","","","97"
"kúlun","noun","","","","","97"
"kúlun","verb","","","","","97"
"kulúb","adjective","","","","","97"
"kulú","noun","","","","","97"
"kulíhut","adverb","","","","","97"
"kúli’","adjective","","","","","97"
"kúli’","verb","","","","","97"
"kúlba’","noun","","","","","97"
"kúlba’","verb","/mag-, -un/","70 comrade, relationship between the godfather and parents of the godchild. company, business enterprise. company, partnership. partner. thumb, big toe. emaciated. /mag-, -un/ to cage, to imprison.","Ginkulúng ku ang píspis.","I caged the bird.","97"
"kunúl","adjective","","","","","98"
"kunú","particle","","","","","98"
"kuntáni’","particle","","","","","98"
"kundíman","noun","","","","","98"
"kúndi’","conjunction","","","","","98"
"kún kís’a","adverb","","","","","98"
"kún","conjunction","","","","","98"
"kúmud","verb","","","","","98"
"kúmud","verb","","","","","98"
"kumpisár","noun","/mag-/","71 /mag-/ to cease, to stop flowing, to run dry as a river. Nagkunúl ang subá’. The river ran dry.","Nagkunúl ang subá’.","according to, he or she sa","98"
"kumpisár","idiom","",".","","This is a","98"
"quoting","particle","",".","Makádtu sya kunú sa Pampánga.","He sa","98"
"quoting","idiom","","he will go to Pampanga. maybe, if possible, I hope.","","This","98"
"quoting","particle","","implies a possibility and hope for something favorable in the future, but a regret of past events. Gústo ku kuntáni’ ma’upúd.","Gústo ku kuntáni’ ma’upúd.","Filipino song which depicts mood changes of the people, usually written in the native languages and composed by Filipinos.","98"
"kúri’","adjective","","","","","99"
"kurbáta","noun","","","","","99"
"kurbáda","noun","","","","","99"
"kurbáda","verb","","","","","99"
"kúrba","noun","","","","","99"
"kúra","noun","","","","","99"
"kupú’","verb","","","","","99"
"kupú’","verb","","","","","99"
"kúpkup","noun","","","","","99"
"kúpkup","verb","","","","","99"
"kúnyag","noun","","","","","99"
"kúnyag","verb","","","","","99"
"kunút","adjective","","","","","99"
"kunúp","noun","/ma-/; /mag-, -un/; /mag-, -an/","72 /ma-/ slow, weak. necktie. street corner, street curve. /mag-, -un/ to twist, to bend, to turn, to curve. Nagkúrba ang alámbre. The wire curved. curve.","Nagkúrba ang alámbre.","/mag-, -an/ to hang onto tightly, to embrace tightly, to cling to, to stick to","99"
"kúsi’","noun","","","","","100"
"kúskus","verb","","","","","100"
"kusámkusám","verb","","","","","100"
"kúrug","verb","","","","","100"
"kúrug","verb","","","","","100"
"kúrit","noun","","","","","100"
"kúrit","verb","","","","","100"
"kurisúng","noun","","","","","100"
"kuríng","noun","","","","","100"
"cat.","verb","","","","","100"
"cat.","noun","","","","","100"
"kurinút","adjective","","","","","100"
"kuribúng","verb","","","","","100"
"kuribúng","verb","/mag-, -un/; /mag-/","73 pinch, small piece. /mag-, -un/ to scrape with a sharp instrument or with a scraper. Nagkúskus akú sa ng lubí. I scraped the coconut from the nut. /mag-, -un/ to taste, to partake of a little food. Nagkusámkusám akú sa kusína. I tasted the food in the kitchen. /mag-/ to shiver, to tremble, to shake.","Nagkúrug akú sa katúgnaw.","I shivered","100"
"kutsára","noun","","","","","101"
"kútis","noun","","","","","101"
"kutíngkúting","verb","","","","","101"
"kutíng","noun","","","","","101"
"kutíng","verb","","","","","101"
"kútkut","noun","","","","","101"
"kutáwkutáw","verb","","","kúta’nvn","","101"
"kusúg","adjective","","","","","101"
"kusípad","verb","","","","","101"
"kusinéro","noun","","","","","101"
"kusína","noun","","","","","101"
"kusína","verb","/mag-, -un/; /mag-, -an/","74 tablespoon. skin complexion, facial complexion. /mag-, -un/ to pluck or strum a guitar, to pluck a string instrument. Nagkutíngkúting ánay sya sa gitára bágo magkánta. He strummed the guitar first, before he started his song.","Nagkutíngkúting ánay sya sa gitára bágo magkánta.","/mag-, -an/ to excavate, to dig, to scoop out dirt from the ground so as to make","101"
"kwádra","noun","","","","","102"
"kwadérno","noun","","","","","102"
"kúymi","noun","","","","","102"
"kuyámpad","verb","","","","","102"
"kú’ut","verb","","","","","102"
"kú’ub","verb","","","","","102"
"kútut","verb","","","","","102"
"kutúl","verb","","","","","102"
"kútub","adverb","","","","","102"
"kutsún","noun","","","","","102"
"kutsún","verb","","","","","102"
"kútsukútsu","noun","","","","","102"
"kutsílyo","noun","","","","","102"
"kutséro","noun","","","","","102"
"kutsaríta","noun","/mag-, -un/; /mag-, -an/","75 stable. notebook. cashier. /mag-, -un/ to run, to scamper off. Nagkuyámpad si lá sa plása. They ran to the plaza. /mag-, -un/ to feel for, to fish out with the hand, to put one’s hand or arm in a hole. /mag-, -an/ to bow, to bend the head as if in hiding.","Nagkú’ub akú sa lamésa.","I","102"
"kwítis","noun","","","","","103"
"kwérdas","noun","","","","","103"
"kwérdas","verb","","","","","103"
"kwénta","noun","","","","","103"
"kwélyo","noun","","","","","103"
"kwéba","noun","","","","","103"
"kwátro","numeral","","","","four.","103"
"kwárto","noun","","","","","103"
"kwártakwárta","noun","","","","","103"
"kwárta","noun","","","","","103"
"kwarénta","numeral","","","","forty.","103"
"kwán","particle","","","","","103"
"kwáku","noun","","","","","103"
"kwádro","noun","/mag-, -un/","76 fireworks. string for a string instrument. /mag-, -un/ to account, to solve, to balance. account, balance account. collar, back of the neck. cave. room, enclosed area, bedroom. play money. money, cold cash.","","whatchamacallit.","103"
"dágat","noun","","","","","104"
"dagámi","noun","","","","","104"
"dakúp","verb","","","","","104"
"dakúp","verb","","","","","104"
"dakú’","adjective","","","","","104"
"dakbánwa","noun","","","","city.","104"
"dabúdabú","noun","","","","","104"
"dábuk","verb","","","","","104"
"dábuk","verb","","","","","104"
"dábdab","noun","","","","","104"
"dábdab","verb","","","","","104"
"dabádabá","noun","","","","","104"
"dabádabá","particle","","","","","104"
"dá’an","adjective","/mag-, -un/; /mag-, -an/","77 sea, ocean. hay, straw. /mag-, -un/ to catch, to trap, to snare, to capture, to arrest. Nagdakúp si lá sa ng ísda’. They caught a fish. /mag-, -an/ to become big, to make big. Nagdakú’ ang báta’. The child has grown bigger. big, bulky, huge, great.","Nagdakú’ ang báta’.","/mag-, -un/ to kindle a fire, to build a fire,","104"
"old, used, worn out.","deictic","","","","","104"
"dágway","noun","","","","","105"
"dágway","verb","","","","","105"
"dagu’ub","noun","","","","thunder.","105"
"dagusu’","verb","","","","","105"
"dagum","noun","","","","","105"
"dagum","verb","","","","","105"
"dágta’","noun","","","","","105"
"dagsa’","verb","","","","","105"
"dagsa’","verb","","","","","105"
"dagpi’","noun","","","","","105"
"dagpi’","verb","","","","","105"
"dágdag","noun","","","","","105"
"dagáya’","verb","","","","","105"
"dagát","noun","/mag-/; /mag-, -an/; /mag-, -un/","78 facial expression, shape, posture. /mag-/ to thunder. /mag-/ to swarm, to move in a crowd. Nagdagúsu’ ang mangá táwu sa aksidénte. The people crowded around the scene of the accident. sewing needle, injection needle. /mag-, -an/ to stain, to blot, to mar.","sa p, stain, sticky sa p of plants, mark.","/mag-, -un/ to transfer, to be washed ashore, to flow with the current.","105"
"ini? Do you give extra for this?","adjective","/-un/","many, plentiful, teeming, swarming. /-un/ to be seasick, to be nauseated.","Gindagát akú sa ng pagsakáy ku sa bapór.","I felt seasick when I rode on the boat.","105"
"seasickness, nausea.","deictic","","","","","105"
"dalándan","verb","","","","","106"
"dálan","noun","","","dalámhak","","106"
"dalagíta","noun","","","","","106"
"dalágan","verb","","","","","106"
"dalága","noun","","","","","106"
"dalág","adjective","","","","","106"
"yellow.","noun","","","","","106"
"dalá","verb","","","","","106"
"dalá","verb","","","","","106"
"da’ígun","noun","","","","","106"
"dáhun","noun","","","","","106"
"leaf.","verb","","","","","106"
"dahúm","noun","","","","","106"
"dahú’","verb","/mag-/","79 /mag-/ to descend quickly, to hurry down the stairs, to slide down the bannister.","Nagdalándan ang báta’ sa hágdan.","The child slid down the stairs.","106"
"street, road, path, cleared path.","adjective","/mag-, -un/; /mag-, -an/","wayward, disobedient, untoward. young girl between the age of ten years old to about fifteen years old. /mag-, -un/ to run, to dash, to dart, to scamper. unmarried girl, between the age of about fifteen to thirty. packages, things being carried, load. /mag-, -un/ to bring, to carry, to transmit. /mag-, -an/ to si ng Christmas carols. Nagda’ígun kamí kagáb’i.","We sa ng Christmas carols last night.","Christmas carol.","106"
"dalúndun","verb","","","","","107"
"dalúndun","verb","","","","","107"
"dálum","adjective","","","","","107"
"dalúdo","verb","","","","","107"
"dalúk","adjective","","","","","107"
"dalú’","verb","","","","","107"
"dalísay","adjective","","","","","107"
"dalí’ lang","adverb","","","","","107"
"dalí’ lang","verb","","","","","107"
"dalí’ lang","adjective","","","","","107"
"dalí’","adverb","","","","","107"
"dáldal","verb","","","","","107"
"daláwat","verb","","","","","107"
"dálangdálang","verb","/magpa-, -pa-…-an/; /mag-/; /ma-/; /mag-, -un/","80 /magpa-, -pa-…-an/ to carry, to push along, to use water or slimy substance to push an object or food down the throat. /mag-/ to deepen, to become deep. /ma-/ deep. /mag-/ to swell, to rise, to become flooded. Nagdalúdu ang subá’. The river flooded the area.","Nagdalúdu ang subá’.","/mag-, -un/ to caress, to fondle.","107"
"way.","deictic","","","","","107"
"dángat","verb","","","","","108"
"dánlug","verb","","","","","108"
"dámul","adjective","","","","","108"
"damuhál","adjective","","","","","108"
"damúg","noun","","","","","108"
"damúg","verb","","","","","108"
"dámu’","adjective","","","","","108"
"dámpig","verb","","","","","108"
"dámhag","verb","","","","","108"
"dámhag","verb","","","","","108"
"dámgu","noun","","","","dream.","108"
"damáng","noun","","","","","108"
"spider.","verb","","","","","108"
"damán","noun","/-un/; /ma-/; /mag-, -an/","81 /-un/ to reach, to acquire, to get at, to secure, to take hold of. Gindángat ni Mário ang Lunéta sa lakát. Mario reached Luneta by walking. /ma-/ to slide, to slip. Nadánlug akú. I slipped. /ma-/ thick, dense, bulky. rude, unrefined in social manners.","Nadánlug akú.","/mag-, -an/ to be many, to augment in number, to increase.","108"
"dásig","adverb","","","","","109"
"dápyus","verb","","","","","109"
"dápyus","verb","","","","","109"
"dáp’ung","noun","","","","bonfire.","109"
"dapúg","noun","","","","","109"
"dápu’","verb","","","","","109"
"dáplus","verb","","","","","109"
"dapít","adjective","","","","near.","109"
"dapáy","noun","","","","hawk.","109"
"dápaw","noun","","","","","109"
"dápat","verb","","","","","109"
"dapádapá","noun","","","","","109"
"dangúp","verb","/mag-/; /ma-/; /mag-, -an/","82 /mag-/ to do something with speed and promptness, to hasten. Nagdásig si la. They hurried. /ma-/ fast, quick. quickly, faster. /mag-/ to slide, to stray. Nagdápyus ang ti’íl ku sa lápuk. My foot slid in the mud. /mag-, -an/ to build a bonfire, to put on fire. Nagdáp’ung si la sa íla lagwérta.","Nagdáp’ung si la sa íla lagwérta.","stove, fireplace, fire pit.","109"
"dayán","verb","","","","","110"
"dayán","verb","","","","","110"
"dayán","adjective","","","","","110"
"dáya’","noun","","","","","110"
"dáw sa","adverb","","","","","110"
"dá’ut","verb","","","","","110"
"dá’ut","verb","","","","","110"
"da’úg","noun","","","","","110"
"da’úg","adjective","","","","","110"
"dasún","adverb","","","","","110"
"next.","verb","","","","","110"
"dasú’dasú’","adjective","","","","","110"
"dasúk","verb","","","","","110"
"dás’il","verb","/mag-, -un/; /mag-, -an/; /ma-/","83 /mag-, -un/ to walk or stroll about, to promenade. /mag-, -an/ to trick, to cheat, to deceive. Nagdáya’ si Manuél sa paghámpang sa ng baráha. Manuel cheated in the card game. /ma-/ cheat, dishonest. deceit, trick, dishonesty.","seem si milar, like.","/ma-/ to injure, to hurt, to harm, to damage.","110"
"desisyón","noun","","","","","111"
"decision.","verb","","","","","111"
"desgrásya","noun","","","","","111"
"dentísta","noun","","","","dentist.","111"
"demónyo","noun","","","","","111"
"demokrásya","noun","","","","","111"
"delárgo","noun","","","","","111"
"de’ílo","noun","","","","","111"
"dekorá","verb","","","dekolór","","111"
"debóto","adjective","","","","","111"
"de","particle","","","","","111"
"dáyun","verb","","","","","111"
"dayáw","adjective","","","","","111"
"dáyaw","verb","/mag-, -un/; /ma-/; /mag-, -an/","84 /mag-, -un/ to make a decision, to decide. /ma-/ to have an accident, to have an unfortunate experience. Nadesgrásya ang bus kahápun. The bus met an accident yesterday. disaster, accident, disgrace. devil, Sa tan. democracy. long pants for men.","devil, Sa tan.","/mag-, -an/ to decorate, to put on","111"
"baylíhan. We decorated the ballroom.","adjective","/magpa-, -pa-…-un/; /ma-/; /mag-, -un/","multi-colored, colored. devout, fervent. of, with. De motor ang íya barútu. His canoe is motorized. /magpa-, -pa-…-un/ to continue, to come in, to spend some time on. Nagpadáyun ang Presidénte sa paghámbal. The President went on speaking. /ma-/ capricious, vain. /mag-, -un/ to praise, to commend, to appreciate, to extol.","Gindáyaw ang ímu trabáho sa eskwelahán.","Your work was","111"
"commended in school.","deictic","","","","","111"
"díli’","verb","","","","","112"
"dílap","verb","","","","","112"
"dilántu","verb","","","","","112"
"díla’","noun","","","","to ngue.","112"
"dí’in si ní","pronoun","","","","","112"
"dí’in si ná’","pronoun","","","","","112"
"dí’in sa dtu","pronoun","","","","","112"
"di’ín","adverb","","","","where.","112"
"dídtu","deictic","","","","","112"
"didál","noun","","","","thimble.","112"
"díkta","verb","","","","","112"
"diksyonáryo","noun","","","","","112"
"debúhu","noun","","","","","112"
"dí","deictic","","","","","112"
"Desyémbre","noun","","","","","112"
"destíno","noun","/-un/; /mag-, -an/; /mag-/","85 /-un/ to for bid, to prohibit. Gindíli’ ang paghabúy sa ng papél sa eskwelahán. It was for bidden to throw paper around the school campus. /mag-, -an/ to lick, to lap, to drawl the to ngue like a dog. Gindilápan akú sa ng idú’. The dog licked me. /mag-/ to expand in business, to improve in the family standard of living, to progress.","Nagdilántu ang ákun negósyo.","My business expanded.","112"
"diwáta’","noun","","","","","113"
"diwáta’","verb","","","","","113"
"diwál","adjective","","","","","113"
"dís’ug","verb","","","","","113"
"disprás","noun","","","","","113"
"disiplína","noun","","","","","113"
"disimulár","verb","","","","","113"
"disgústo","verb","","","","","113"
"disgústo","verb","","","","","113"
"diskúrso","noun","","","","","113"
"diri","deictic","","","","here.","113"
"direktór","noun","","","","director.","113"
"dirá’","deictic","","","","","113"
"dingút","adjective","","","","","113"
"díngding","noun","","","","","113"
"dimát","verb","/mag-, -an/; /-un/; /mag-, -un/","86 idol, fairy. /mag-, -an/ to let the to ngue hang out like a dog, to stick the to ngue out. Gindiwalán sa ng báta’ ang ma’estro. The child stuck his to ngue out at the teacher. lapping to ngue. /-un/ to push, to jostle, to shove. masquerade.","Gindiwalán sa ng báta’ ang ma’estro.","/mag-, -un/ to overlook, to let pass, to make unnoticeable, to cover up.","113"
"dúda","noun","","","","","114"
"dukút","verb","","","","","114"
"dukuménto","noun","","","","","114"
"dukú’","verb","","","","","114"
"dúkduk","verb","","","","","114"
"duká’","verb","","","","","114"
"dú’aw","verb","","","","","114"
"du’ág","noun","","","","","114"
"doséna","noun","","","","dozen.","114"
"dóse","numeral","","","","twelve.","114"
"dós","numeral","","","","two.","114"
"dormitóryo","noun","","","","","114"
"Domínggo","noun","","","","Sunday.","114"
"Dódong","noun","","","","","114"
"doktór","noun","","","","doctor.","114"
"dóble","adjective","","","","","114"
"díyas","noun","/mag-, -un/; /mag-/","87 doubt, suspicion. /mag-, -un/ to stick to, to paste on. document. /mag-/ to bow, to stoop down. /mag-, -un/ to pound, to grind. Nagdúkduk si lá sa ng ma’ís. They ground some corn. /mag-/ to nod with drowsiness. Nagduká’ akú sa síni.","Nagduká’ akú sa síni.","/mag-, -un/ to drop in, to look in, to visit.","114"
"dormitory.","noun","","for mative affix. Kobradór ang íya tátay. His father is a collector. young boy from about age one to fifteen.","Kobradór ang íya tátay.","birthday.","114"
"dúhadúha","verb","","","","","115"
"dúgwak","noun","","","","swan.","115"
"dugús","noun","","","","honey.","115"
"dúguk","verb","","","","","115"
"dúguk","verb","","","","","115"
"dugú’","noun","","","","blood.","115"
"dúgmuk","verb","","","","","115"
"dúghan","noun","","","","","115"
"dúgkal","verb","","","","","115"
"dugáydugáy","adverb","","","","","115"
"dugáydugáy","verb","","","","","115"
"dúgay","adverb","","","","","115"
"dúgay","verb","","","","","115"
"dúgang","noun","","","","addition.","115"
"dúga’","noun","","","","","115"
"dúga’","verb","/mag-, -un/; /mag-, -an/; /mag-/","88 /mag-, -un/ to doubt, to hesitate, to waver. Nagduhádúha akú kun makádtu o indí’. I wavered on whether to go or not. /mag-, -an/ to join, to take part in. Nagdúguk akú sa kasál. I took part in the wedding procession. /mag-/ to bleed. /mag-, -un/ to crush, to break by pressure.","Gindúgmuk ku ang pildorás.","I crushed the tablet.","115"
"her.","deictic","","","","","115"
"dulúnggan","noun","","","","ear.","116"
"dúl’ung","verb","","","","","116"
"dúlung","verb","","","","","116"
"dulúnan","noun","","","","","116"
"dulúnan","verb","","","","","116"
"dulúm","adjective","","","","","116"
"dúlug","verb","","","","","116"
"dúlingdúling","verb","","","","","116"
"dúlhug","verb","","","","","116"
"dúlang","noun","","","","","116"
"dúla’","verb","","","","","116"
"dúhul","verb","","","","","116"
"duhá","numeral","/mag-, -un/; /magpa-/; /mag-/","two. 89 /mag-, -un/ to transport, to bring, to deliver, to conduct. Gindúl’ung ni Juán ang padalá sa íya. Juan delivered what was sent through him. /magpa-/ to approach, to come near, to draw near, to go in the direction of. Nagpadúlung si José sa eskwelahán. Jose went in the direction of the school.","Nagpadúlung si José sa eskwelahán.","/mag-/ to darken, to get dusky, to become gloomy.","116"
"dúngan","adverb","","","","","117"
"dúngan","verb","","","","","117"
"dunút","adjective","","","","","117"
"dumút","verb","","","","","117"
"dumulú’ung","noun","","","","","117"
"dúmug","verb","","","","","117"
"dumíli’","verb","","","","","117"
"dúmdum","verb","","","","","117"
"dumála","verb","","","","","117"
"dúlsi","noun","","","","","117"
"dúlsi","verb","","","","","117"
"dúlut","noun","/mag-, -un/; /ma-/; /mag-, -an/","90 /mag-, -un/ to be or do to gether, to be si multaneous. Nagdúngan si lá paghámbal. They talked at the sa me time. to gether, si multaneously. /ma-/ to be rotten, to crush. Nadúnut ang mansánas. The apple rotted. rotten, spoiled. /mag-, -an/ to abominate, to detest, to begrudge.","Gindúmtan si Manuél sa ng mangá táwu.","Manuel was begrudged by the people.","117"
"of fering, gift.","deictic","","","","","117"
"dwénde","noun","","","","","118"
"dúyu","adjective","","","","","118"
"dúyu","verb","","","","","118"
"dúyan","noun","","","","","118"
"dú’ul","noun","","","","cork.","118"
"dú’ug","noun","","","","","118"
"dúta’","noun","","","","","118"
"dusú’","verb","","","","","118"
"dúsmu’","verb","","","","","118"
"dúsdus","verb","","","","","118"
"dúpla’","verb","","","","","118"
"dungúg","noun","","","","","118"
"dungúk","verb","","","","","118"
"dúnglay","verb","","","","","118"
"dúngka’","verb","","91 dwarf, elf, leprechaun.","","dejected, sa","118"
"dúngka’","deictic","/mag-, -un/; /ma-/",". /mag-, -un/ to rock a cradle, to swing. Nagdúyan akú sa ng báta. I rocked the baby. swing, cradle, crib, hammock. location, si te, place. land, soil, earth.","location, si te, place.","/ma-/ to stumble.","118"
"dyútay","adjective","","","","","119"
"Dyús","noun","","","","","119"
"dyíp","noun","","","","","119"
"dyés","numeral","","ten. 92 tiny, small, little. God, the Almighty.","","jeepney, renovated war surplus jeeps","119"
"used as public transportation.","deictic","","","","","119"
"éntra","verb","","","","","120"
"entabládo","noun","","","","","120"
"ensaláda","noun","","","","sa lad.","120"
"enhenyéro","noun","","","","engineer.","120"
"Enéro","noun","","","","January.","120"
"empýene","noun","","","","ringworm.","120"
"empleyádo","noun","","","","employee.","120"
"empanáda","noun","","","","","120"
"embalsamár","verb","","","","","120"
"embahadór","noun","","","","ambassador.","120"
"elementárya","noun","","","","","120"
"elementary.","verb","","","","","120"
"eleksyón","noun","","election.","","eh","120"
"edád","noun","","","","","120"
"age.","verb","","","","","120"
"eksámin","noun","","","","","120"
"eklípsi","noun","","","","eclipse.","120"
"ebanghélyo","noun","/mag-, -an/; /mag-, -un/","93 /mag-, -an/ to go in, to enter, to share in, to interfere, to participate. Nag’éntra akú sa prográma. I participated in the program. platform, stage.","Nag’éntra akú sa prográma.","/mag-, -un/ to embalm.","120"
"/mag-/ to hold an election.","particle","/mag-, -un/","filler which can mean, oh…, no…. /mag-, -un/ to give or take an examination. examination, test. gospel, epistle.","","E","120"
"espíritu","noun","","","","","121"
"Espanyól","noun","","","","","121"
"Espánya","noun","","","","Spain.","121"
"espáda","noun","","","","sword, spade.","121"
"eséna","noun","","","","","121"
"eskwelahán","noun","","","","","121"
"eskwéla","noun","","","","student, pupil.","121"
"eskultór","noun","","","","sculptor.","121"
"eskóba","noun","","","","of shoes, brush.","121"
"eskiníta","noun","","","","","121"
"aisle, alleyway.","verb","","","","refinement.","121"
"eskándalo","noun","","","","scandal.","121"
"eropláno","noun","","airplane.","","-ero","121"
"epektíbo","adjective","","","","effective.","121"
"Englatéra","noun","","","","England.","121"
"entyénde","verb","/mag-/","94 soul, spirit, ghost. Spanish, Spaniard. screen, movie screen. school house, school.","","/mag-/ to create a scandal.","121"
"si lá. They created a scandal.","adjective","/-oso/","rude, scandalous, lack in social done.","Basuréro si Ricárdo.","Ricardo is a","121"
"garbageman.","noun","/ma-, -an/","","","for mative affix designating type of work /ma-, -an/ to understand, to grasp, to comprehend, to realize.","121"
"estudyánte","noun","","","","","122"
"estranghéro","noun","","","","","122"
"estátwa","noun","","","","statue.","122"
"estasyón","noun","","","","station.","122"
"estár","verb","","","","","122"
"estánte","noun","","","Estádos","","122"
"Unídos","noun","","","","United States.","122"
"estádo","noun","","","","","122"
"espóngha","noun","","","","","122"
"espóngha","verb","","","","","122"
"espíya","noun","/mag-, -an/","agent, spy. 95 learner, student. for eigner, stranger. /mag-, -an/ to inhabit, to stay, to live, to reside. Nag’estar kamí sa Iloílo sa ng ísa ka tú’ig. We lived in I loilo for a year. shelf, bookcase. state, province.","Nag’estar kamí sa Iloílo sa ng ísa ka tú’ig.","/mag-, -an/ to spy.","122"
"n France.","noun","","","","flower vase.","123"
"n France.","noun","","","","February.","123"
"n France.","noun","","","","family, home.","123"
"n France.","noun","","ladies skirt.","","F","123"
"galánte","adjective","","","","","124"
"gálab","verb","","","","","124"
"gá’id","verb","","","","","124"
"gahúm","noun","","","","","124"
"gahúm","verb","","","","","124"
"gahúm","noun","","","","noise, clatter.","124"
"gáhud","adjective","","","","","124"
"gáhit","verb","","","","","124"
"gábut","verb","","","","","124"
"gábut","verb","","","","","124"
"gabúk","adjective","","","","","124"
"gabinéte","noun","","","","","124"
"gáb’i","noun","","","","night, evening.","124"
"gábi","noun","/mag-, -un/; /mag-/","taro. 97 gallant, chivalrous, extravagant. /mag-, -un/ to cut with a si ckle, to gather rice grains with a si ckle. Naggálab ang mangungúmaqsang humáy. The farmer gathered rice. /mag-, -un/ to bind, to secure, to tie to, to hitch on to. Gingá’id ku ang ang kárbaw sa póste. I tied the carabao to the post.","Gingá’id ku ang ang kárbaw sa póste.","/mag-/ to be noisy, to make noise.","124"
"gána","noun","","","","appetite.","125"
"gamút","noun","","","","","125"
"root.","verb","","","","","125"
"gamú","noun","","","","","125"
"gamósa","adjective","","","","velvety.","125"
"gámit","verb","","","","","125"
"gámit","adjective","/ma-/","","","foggy.","125"
"gámhun","noun","","","","fog.","125"
"gamáy","adjective","","","","","125"
"galyétas","noun","","","","","125"
"galyétas","verb","","","","","125"
"galyétas","adjective","/ma-/","","","cloudy.","125"
"gál’um","noun","","","","","125"
"galón","noun","","","","gallon.","125"
"galingán","noun","","","","grinder, mill.","125"
"gáling","verb","","","","","125"
"galí’","particle","","","","","125"
"galatúng","noun","","","","","125"
"galapún","noun","/mag-/; /mag-, -un/; /ma-/","bottle. 98 /mag-/ to cause a disturbance, to throw into confusion, to take away peace. Naggamú ang pláno kay walá’ nagka’-entyendíhan. The plans got confused because there was no understanding. disturbance, conflict, confusion. /mag-, -un/ to use, to devise. /ma-/ small, little.","Naggamú ang pláno kay walá’ nagka’-entyendíhan.","/mag-/ to become cloudy.","125"
"gápas","verb","","","","","126"
"ganghá’an","noun","","","","","126"
"gánuy","verb","","","","","126"
"gánuy","verb","","","","","126"
"gánuy","noun","","","","noise, racket.","126"
"gansál","adjective","","","","","126"
"gánsa","noun","","","","goose.","126"
"gantángan","noun","","","","","126"
"gántang","noun","","","","ganta.","126"
"gánit","verb","","","gáni’","","126"
"ganánsya","noun","","","","","126"
"winnings, gain.","verb","/mag-, -un/; /mag-/; /ma-/","99 /mag-, -un/ to cut down, to fell. Gingápas námun ang mangá púnu’ sa ng ságing. We cut down the banana plants. gate, entrance, door. /mag-, -un/ to drag behind, to draw. Gingánuy ku ang báka pa’uli’. I dragged the cow home. /mag-/ to be noisy, to set up a racket. Naggansál ang makiná.","Naggansál ang makiná.","/ma-/ loud, deafening.","126"
"nalanǵ kamí. The refore we will go.","conjunction","/-an/","in fact, as a matter of fact. Walá’ gáni’ akú /-an/ to have appetite for.","Ginganáhan akú.","I had the appetite (to eat).","126"
"gatúmbal","noun","","","","pepper.","127"
"gátas","noun","","","","milk, sa p.","127"
"gatá’","noun","","","","","127"
"adj","verb","","","","","127"
"gástos","noun","","","","","127"
"garút","adjective","","","","","127"
